user_id,nickname,gender,avatar,desc,ip_location,follows,fans,tag_list,last_modify_ts
1968758563,李佳琦Austin,男,https://wx3.sinaimg.cn/orj480/7558df23ly8h7arbhajkej20u00u0gmn.jpg,淘宝或点淘搜索🔍李佳琦，每天晚上六点见哦 vx：李佳琦Austin 官方合作：https://www.meione.com,,433,2737万,,1746972050314
1434004434,俊平大魔王,男,https://ww1.sinaimg.cn/orj480/55792bd2jw8f0ahs5sjjjj20e80e7mxg.jpg,,,1034,914.7万,,1746972061157
1968202917,MK凉凉,女,https://wx1.sinaimg.cn/orj480/755064a5ly8gc5kybylsaj20e80e80tc.jpg,余生专注卷抗老,,227,590.6万,,1746972192852
5882998192,Pony__朴惠敏,女,https://wx3.sinaimg.cn/orj480/006q8szCly8hfvphq1butj30go0gojtu.jpg,,,7,1214.9万,,1746972264623
2806522904,大嘴博士,男,https://wx1.sinaimg.cn/orj480/a7482418ly8hociq23e65j20e80e8wfa.jpg,前欧莱雅科学传播负责人；19年化妆品研发和科普经验；香港大学化学博士。带你科学护肤，不交智商税！,,167,169.9万,,1746972362843
2806522904,大嘴博士,男,https://wx1.sinaimg.cn/orj480/a7482418ly8hociq23e65j20e80e8wfa.jpg,前欧莱雅科学传播负责人；19年化妆品研发和科普经验；香港大学化学博士。带你科学护肤，不交智商税！,,167,169.9万,,1746972465476
2263913525,帅你一脸毛蛋,女,https://ww3.sinaimg.cn/orj480/86f09435jw8f4c8n78ustj20yi0yiq51.jpg,黑黄皮美妆博主，B站up主。 工作WX：BeautyQ-08,,851,430.3万,,1746972709690
1403630461,唐毅,男,https://wx2.sinaimg.cn/orj480/53a9b37dly8hjls8cowm6j20u00u075z.jpg,Timage彩棠美妆品牌创始人、时尚资深造型师、《非常完美》《雪花密扇》《女人帮》《新编辑部故事》等总造型设计、著作《美妆秘诀》《风格美妆》等,,1106,255.5万,,1746972806561
1907184700,Vivekatt,女,https://wx4.sinaimg.cn/orj480/71ad543cly8gyuvr8s2b4j20n00n076i.jpg,北京姑娘🎋 职业化妆师👩🏻‍🎨 单眼皮美妆博主💄 喜欢琢磨美食和撸猫🤤🐈‍⬛  商务咨询合作: info@Vivekatt.com,,133,124.2万,,1746972923509
1811467920,小酒窝伊森,男,https://wx4.sinaimg.cn/orj480/6bf8ce90ly8g706xonxebj20e80e8q3b.jpg,我是你的爱心专座,,112,53.9万,,1746973045872
1751044680,妮可蹦蹦,女,https://wx1.sinaimg.cn/orj480/685ed248ly8gll756aj7wj20u00u0dj0.jpg,fly me to the moon.,,308,137.6万,,1746973137553
1905388041,蓉点儿,女,https://wx2.sinaimg.cn/orj480/7191ea09ly8fppgql18ihj20v90v9gp8.jpg,→rongdianer555 美妆测评的成分控～ b站&amp;公众号：蓉点儿 桃宝店：蓉点儿优选 合作：492129844@qq.com,,85,55万,,1746973202344
6213964912,单Niel,男,https://wx4.sinaimg.cn/orj480/006Mxa8wly8fxtx9m49ywj30ku0ku3zj.jpg,,,391,60.2万,,1746973326229
1838919975,陈莴笋,男,https://wx2.sinaimg.cn/orj480/6d9bb127ly8g2qlh75ukjj20u00u040r.jpg,合作联系：BeautyQ-08,,440,396.2万,,1746973479931
6858843303,小本Brant,男,https://wx1.sinaimg.cn/orj480/007ub0sTly8fxump1u658j30rw0rw7wh.jpg,科普话痨/护肤成分/医学科研/合作请私信/犬系男子/运动宅男 曾用ID：痕量 /痕量Brant,,490,169.3万,,1746973548927
1678565893,小蛮蛮小,女,https://wx3.sinaimg.cn/orj480/001PB5Frly8hdi2fuh5qxj60u00u040y02.jpg,工作邮箱：xiaoman_1130@163.com 宇宙无敌天才霹雳可爱少年蛮。青春的蛮，友谊的蛮！,,193,578万,,1746973677594
1654254937,配方师Rex,男,https://wx1.sinaimg.cn/orj480/6299ed59gy1fs5tekermrj21kw2dch56.jpg,知乎：胡晓波，知乎专栏：配方师Rex,,1525,58.9万,,1746973764801
6841483092,程十安an,女,https://wx4.sinaimg.cn/orj480/007t0ahuly8gxd8oucnd5j30to0towfy.jpg,,,192,186.2万,,1746973933708
3175437177,豆豆_Babe,女,https://wx4.sinaimg.cn/orj480/bd455379ly8hlws6i4ockj20u00u0wgi.jpg,🍑宝：豆大哥的漂亮店 。商务合作📮doudoubabe2022@163.com,,440,262.2万,,1746973963368
1842743942,彩妆师Apple,女,https://wx2.sinaimg.cn/orj480/6dd60a86ly8hdkeocel8lj20ts0tsgp4.jpg,直播售后微信：95267626 化妆培训微信：63392907 商务洽谈微信：appleliuna 【Apple Makeup 化妆培训 &amp; 彩妆服务 for you】,,6767,9.2万,,1746974030804
